index,tier,leagueId,queue,name,entries
15,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'xH6asemyWx1LMmHyuc0hzU7KDX0Q6GY9IZC5MsyuvuEKwhQ0M3_FubXzUA', 'summonerName': '원파링', 'leaguePoints': 1352, 'rank': 'I', 'wins': 140, 'losses': 84, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
16,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'EvCsbQuwSjQZCbAc9AFTyemHVH3VrkhPWi_iEYhO0cZXppL2SehupXClIw', 'summonerName': 'InV Jiro', 'leaguePoints': 1187, 'rank': 'I', 'wins': 155, 'losses': 109, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': True}"
17,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': '8HbnwUziw4zWS5hVJuurorERYNAGpWFlu1k3squFA-7mfGMk24XNokXfAQ', 'summonerName': '환희03', 'leaguePoints': 937, 'rank': 'I', 'wins': 192, 'losses': 160, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
18,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'h3NNm6hwU-WZEzEX7AUDS09t3Znga2BicACoy9fSgomcLQ', 'summonerName': 'Lee 종원', 'leaguePoints': 1185, 'rank': 'I', 'wins': 185, 'losses': 130, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': True}"
19,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': '-ajSSZqHRF3xdxXPgVseSemDIrVXM3eZHuLlVzpTHS4j8g', 'summonerName': '최killing', 'leaguePoints': 1051, 'rank': 'I', 'wins': 188, 'losses': 149, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
20,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': '0IPZLH-k2T2UXYZc0QLDQPh7XAM297Lhtaale2TnnPQAuYM', 'summonerName': '김도칠', 'leaguePoints': 1375, 'rank': 'I', 'wins': 289, 'losses': 177, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
21,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'YNpAl9hcU187Lqd6DiS8JT-dKsgPWyLtOYjA1UnWuOip1Dw', 'summonerName': '버스기사김뚜벅', 'leaguePoints': 1088, 'rank': 'I', 'wins': 267, 'losses': 230, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
22,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'WqlEXOu8xpVAEzE8qMYM92nt2DN2YqnoqI1Qa2azlm7gSok', 'summonerName': '이준석과 윤석열', 'leaguePoints': 1203, 'rank': 'I', 'wins': 340, 'losses': 298, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}"
23,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'tWcZBQHgrsbKGODixsnrN19SIKQ9oxSVREgzdV4Ss1F9wjI', 'summonerName': 'gochess', 'leaguePoints': 1125, 'rank': 'I', 'wins': 265, 'losses': 196, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': False}"
24,CHALLENGER,946274f2-16b6-376e-8d60-e07ef8f06a7f,RANKED_TFT,Orianna's Dragons,"{'summonerId': 'VH1Vw4vZ3f_aIFG__xDK7X0k0VCKSEMOglv5_dXDupqfrhz0XXjmZlJRxw', 'summonerName': '공략은 달님', 'leaguePoints': 1121, 'rank': 'I', 'wins': 138, 'losses': 80, 'veteran': False, 'inactive': False, 'freshBlood': False, 'hotStreak': True}"
